id,loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,loan_status,age,credit_age
80159,15000.0,MORTGAGE,76000.0,13.37,0.0971,0,0,OVER_FORTY,11674
100063,25000.0,RENT,60000.0,24.52,0.1629,0,0,OVER_FORTY,16119
70241,10000.0,MORTGAGE,155000.0,10.08,0.0603,0,0,UNDER_FORTY,7263
71757,8000.0,RENT,25000.0,32.11,0.1952,0,0,UNDER_FORTY,5649
99039,6000.0,RENT,43800.0,3.97,0.1212,0,0,UNDER_FORTY,7049
84361,11000.0,MORTGAGE,47000.0,4.01,0.1016,0,0,UNDER_FORTY,4766
77123,6000.0,RENT,65000.0,11.06,0.1433,0,0,UNDER_FORTY,6502
104818,10000.0,RENT,36000.0,32.4,0.1629,0,0,OVER_FORTY,8175
105329,8200.0,RENT,27000.0,14.93,0.158,0,0,OVER_FORTY,6045
105856,13000.0,RENT,120000.0,7.06,0.1629,0,0,OVER_FORTY,12040
100013,9600.0,OWN,55000.0,6.89,0.158,0,1,UNDER_FORTY,7110
89075,15875.0,OWN,48000.0,22.73,0.1016,0,0,OVER_FORTY,7322
87354,24000.0,OWN,108000.0,24.02,0.1972,0,1,UNDER_FORTY,8084
83308,20000.0,MORTGAGE,60000.0,15.82,0.1212,0,0,OVER_FORTY,13716
82600,10000.0,MORTGAGE,50000.0,6.96,0.089,0,0,UNDER_FORTY,8145
76230,5075.0,MORTGAGE,18000.0,19.2,0.1064,0,1,OVER_FORTY,8632
69526,10000.0,OWN,34000.0,14.4,0.1305,0,0,OVER_FORTY,12377
80009,11500.0,RENT,50000.0,7.39,0.1756,0,0,OVER_FORTY,13685
101841,12000.0,MORTGAGE,85000.0,24.18,0.1727,0,1,UNDER_FORTY,8022
76672,10575.0,MORTGAGE,51812.0,15.33,0.1155,0,0,OVER_FORTY,7902
103372,18000.0,MORTGAGE,62000.0,27.68,0.1311,0,0,OVER_FORTY,6106
93240,10000.0,MORTGAGE,75000.0,6.27,0.1212,0,0,OVER_FORTY,6806
83764,6500.0,MORTGAGE,36000.0,7.83,0.158,0,0,OVER_FORTY,7171
70449,16800.0,MORTGAGE,55000.0,20.12,0.1305,0,0,OVER_FORTY,8328
81867,10000.0,MORTGAGE,30000.0,6.84,0.1212,0,0,UNDER_FORTY,10244
70371,12250.0,RENT,35000.0,25.23,0.1064,0,0,UNDER_FORTY,8418
101586,6800.0,RENT,54000.0,12.29,0.089,0,0,UNDER_FORTY,5922
86848,20000.0,RENT,45000.0,26.37,0.1114,0,1,OVER_FORTY,10275
103713,12000.0,RENT,43000.0,13.76,0.1311,0,0,UNDER_FORTY,16272
93422,17000.0,MORTGAGE,60000.0,19.78,0.1016,0,0,UNDER_FORTY,7780
77691,16000.0,OWN,95000.0,9.26,0.1235,0,1,OVER_FORTY,7322
79461,8125.0,RENT,75000.0,15.62,0.1155,0,1,UNDER_FORTY,7232
106214,23850.0,MORTGAGE,53000.0,8.81,0.1114,0,0,OVER_FORTY,8936
90647,20000.0,MORTGAGE,51000.0,17.58,0.158,0,0,UNDER_FORTY,6745
71004,6500.0,MORTGAGE,47000.0,16.62,0.1235,1,1,UNDER_FORTY,16788
106515,29100.0,MORTGAGE,108000.0,16.6,0.158,0,0,UNDER_FORTY,8145
90540,18000.0,RENT,99000.0,26.05,0.1311,0,0,UNDER_FORTY,5710
76173,16000.0,MORTGAGE,70000.0,26.4,0.0762,0,0,UNDER_FORTY,7719
83313,28000.0,MORTGAGE,228755.0,8.72,0.1311,0,0,OVER_FORTY,7688
95590,6000.0,MORTGAGE,200000.0,10.49,0.1849,0,0,OVER_FORTY,7628
85014,10000.0,RENT,130000.0,12.71,0.1777,0,0,UNDER_FORTY,9149
75614,6000.0,MORTGAGE,73000.0,18.05,0.0603,0,0,OVER_FORTY,7628
73157,5650.0,MORTGAGE,58000.0,29.61,0.1885,0,1,UNDER_FORTY,5618
79854,25000.0,MORTGAGE,120000.0,14.28,0.1235,0,0,UNDER_FORTY,6776
97887,15000.0,MORTGAGE,180000.0,8.21,0.0762,0,0,UNDER_FORTY,7749
83975,10000.0,RENT,70800.0,13.65,0.1212,0,0,UNDER_FORTY,11646
87201,16000.0,MORTGAGE,76000.0,21.14,0.1114,0,0,UNDER_FORTY,7383
92328,16000.0,MORTGAGE,120000.0,15.17,0.1972,0,1,UNDER_FORTY,7291
71307,4200.0,RENT,160000.0,5.8,0.245,0,0,UNDER_FORTY,5922
82120,8875.0,MORTGAGE,54000.0,28.93,0.1629,0,0,OVER_FORTY,8997
78484,9600.0,RENT,82000.0,12.06,0.1368,0,0,UNDER_FORTY,15450
91598,3000.0,MORTGAGE,125000.0,10.41,0.1114,0,0,UNDER_FORTY,9363
73631,8400.0,RENT,58314.0,22.97,0.1522,0,0,OVER_FORTY,7232
95427,8450.0,RENT,25000.0,27.6,0.1531,0,1,UNDER_FORTY,7079
95068,9000.0,MORTGAGE,47000.0,16.75,0.0762,0,0,OVER_FORTY,8359
95894,29700.0,MORTGAGE,67000.0,26.11,0.1016,0,0,OVER_FORTY,8298
89386,20000.0,MORTGAGE,125000.0,6.74,0.1311,0,0,UNDER_FORTY,4127
72412,10000.0,MORTGAGE,105000.0,3.43,0.1825,0,0,UNDER_FORTY,7902
99519,24000.0,MORTGAGE,63828.0,4.68,0.1114,0,0,OVER_FORTY,10032
91523,17000.0,MORTGAGE,75000.0,16.45,0.1212,0,1,OVER_FORTY,11250
79678,35000.0,MORTGAGE,126000.0,0.67,0.1522,0,0,UNDER_FORTY,5618
103779,5375.0,RENT,26000.0,9.0,0.158,0,0,UNDER_FORTY,16972
79812,7500.0,RENT,48000.0,18.63,0.1305,0,0,UNDER_FORTY,11128
106994,20000.0,RENT,68700.0,9.01,0.1212,0,0,UNDER_FORTY,8905
107668,25350.0,MORTGAGE,58000.0,19.08,0.1777,0,0,OVER_FORTY,10305
106985,17325.0,MORTGAGE,78000.0,13.68,0.1311,0,0,UNDER_FORTY,11401
103708,35000.0,MORTGAGE,115000.0,8.69,0.1531,0,0,UNDER_FORTY,6472
93051,13250.0,MORTGAGE,60000.0,24.55,0.158,0,0,UNDER_FORTY,6349
112192,9000.0,RENT,53000.0,4.62,0.0603,0,0,UNDER_FORTY,8022
109655,20000.0,RENT,198000.0,3.95,0.1629,0,0,UNDER_FORTY,7353
94015,4000.0,RENT,28000.0,29.27,0.1531,0,0,UNDER_FORTY,6441
80983,10000.0,MORTGAGE,69000.0,12.87,0.0662,0,0,OVER_FORTY,11462
75518,4000.0,RENT,49000.0,26.62,0.1433,0,1,UNDER_FORTY,8632
105355,16000.0,RENT,63000.0,15.35,0.1849,2,1,UNDER_FORTY,8084
91928,4000.0,MORTGAGE,54000.0,26.91,0.158,0,0,UNDER_FORTY,7141
104679,5000.0,MORTGAGE,83134.0,30.15,0.21,0,0,OVER_FORTY,8084
110198,12000.0,MORTGAGE,45000.0,12.5,0.1433,0,0,OVER_FORTY,8387
109784,8400.0,RENT,85000.0,15.98,0.1629,0,0,UNDER_FORTY,6380
67454,17050.0,RENT,72000.0,15.27,0.1155,0,0,UNDER_FORTY,14993
75337,6000.0,MORTGAGE,50000.0,9.76,0.1756,0,0,UNDER_FORTY,11309
92095,6825.0,MORTGAGE,38000.0,29.03,0.1114,0,0,UNDER_FORTY,12405
69713,16000.0,MORTGAGE,60000.0,20.5,0.0971,0,0,OVER_FORTY,11674
92641,2000.0,RENT,25563.2,27.51,0.1972,0,0,UNDER_FORTY,8905
69317,10000.0,MORTGAGE,65000.0,4.8,0.1235,0,0,UNDER_FORTY,7353
80671,15000.0,RENT,85000.0,9.9,0.1016,0,0,UNDER_FORTY,6288
106721,4000.0,MORTGAGE,144000.0,10.66,0.0662,0,0,OVER_FORTY,12862
105444,17000.0,RENT,58000.0,30.85,0.1531,0,0,OVER_FORTY,8571
101906,5825.0,RENT,20000.0,22.44,0.1311,0,0,UNDER_FORTY,7018
