id,loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,credit_age,age,loan_status,probability,prediction
79205,6000,MORTGAGE,48000.0,5.58,0.1433,0,10641,OVER_FORTY,0,0.5029359685035122,0
80878,15625,RENT,36000.0,23.47,0.1629,0,7353,OVER_FORTY,1,0.6676466478447632,1
74910,14400,OWN,40000.0,19.65,0.1433,0,5771,OVER_FORTY,0,0.57473592315172,0
71533,8325,OWN,24000.0,18.65,0.1522,0,4645,UNDER_FORTY,1,0.6333644262029107,1
74973,9600,RENT,52266.97,19.45,0.1235,0,7202,OVER_FORTY,0,0.5057685467829635,0
81488,16000,MORTGAGE,40000.0,33.74,0.079,0,7872,UNDER_FORTY,0,0.4164958830524133,0
106989,6000,RENT,45123.0,28.43,0.1433,0,7353,UNDER_FORTY,0,0.5876836417203842,0
95228,4000,RENT,16836.0,32.29,0.1777,0,8875,UNDER_FORTY,1,0.7601256829658163,1
100567,11325,RENT,58000.0,20.34,0.1727,0,7383,OVER_FORTY,0,0.6198250134795853,0
93891,9600,RENT,60000.0,18.31,0.1311,0,6288,UNDER_FORTY,1,0.5049058690936105,0
89959,10000,MORTGAGE,115000.0,8.94,0.0762,0,9241,UNDER_FORTY,0,0.23184944910048333,0
88404,15000,MORTGAGE,89000.0,0.03,0.0603,0,7141,UNDER_FORTY,0,0.18864456593729026,0
91774,2500,RENT,31000.0,13.66,0.1311,0,13746,UNDER_FORTY,0,0.5489825724452637,0
89377,28000,MORTGAGE,195000.0,2.44,0.079,0,11950,OVER_FORTY,0,0.20700168467372818,0
90038,2500,MORTGAGE,103000.0,15.13,0.1212,0,9180,UNDER_FORTY,0,0.35638800346932703,0
69794,9500,MORTGAGE,76000.0,25.74,0.1064,0,8418,OVER_FORTY,0,0.4071833570909897,0
76185,7550,RENT,38000.0,15.13,0.1305,0,5861,UNDER_FORTY,0,0.5412163138404208,0
83847,9000,MORTGAGE,44100.0,21.63,0.1212,0,13928,OVER_FORTY,0,0.5128831075944703,0
83020,12575,MORTGAGE,48000.0,22.48,0.1212,0,7780,UNDER_FORTY,0,0.5034500711697074,0
102935,5000,RENT,30000.0,8.64,0.1114,0,6258,UNDER_FORTY,0,0.48630275343343893,0
81278,2400,MORTGAGE,40000.0,3.99,0.1531,0,10032,UNDER_FORTY,0,0.5187265726830228,0
103261,16000,MORTGAGE,56508.0,5.37,0.1311,0,9210,OVER_FORTY,0,0.4746805795400214,0
74668,10000,RENT,38000.0,3.22,0.2115,0,7383,UNDER_FORTY,0,0.690044754166545,1
83008,4200,MORTGAGE,110000.0,17.89,0.1875,0,5465,UNDER_FORTY,0,0.5155078325389874,0
90304,10400,RENT,49000.0,32.47,0.1905,0,6136,UNDER_FORTY,1,0.695732488977333,1
76435,21000,MORTGAGE,82877.0,30.98,0.1235,0,11554,OVER_FORTY,0,0.4891118017917202,0
78956,20000,RENT,130000.0,13.95,0.2031,0,13624,UNDER_FORTY,1,0.5955250864221034,0
79057,12000,MORTGAGE,50000.0,8.59,0.1064,0,8875,UNDER_FORTY,0,0.41720339563517733,0
86415,24000,RENT,72000.0,11.7,0.1212,0,13319,OVER_FORTY,0,0.4755998890781923,0
107473,20000,MORTGAGE,75000.0,21.06,0.1433,0,8175,UNDER_FORTY,0,0.5193814663968762,0
85259,15000,MORTGAGE,62000.0,6.04,0.0662,0,7719,OVER_FORTY,0,0.2512183923100377,0
87308,22750,MORTGAGE,84000.0,23.1,0.079,0,9483,UNDER_FORTY,0,0.3196182264262353,0
100514,7250,RENT,36000.0,28.67,0.08900000000000001,0,6014,UNDER_FORTY,0,0.4514585208435963,0
91675,12000,MORTGAGE,60000.0,6.42,0.0603,0,15542,UNDER_FORTY,0,0.23713104622760456,0
87736,7000,RENT,52000.0,10.68,0.1849,0,4888,UNDER_FORTY,0,0.6122376350477204,0
76925,9750,RENT,30000.0,24.44,0.1155,0,9545,UNDER_FORTY,0,0.5671370234486776,0
97992,10200,MORTGAGE,92000.0,24.56,0.1311,0,11371,OVER_FORTY,1,0.4607850180176603,0
74515,10000,MORTGAGE,150000.0,6.82,0.1368,0,8936,OVER_FORTY,0,0.3676031118566777,0
92978,2600,MORTGAGE,70000.0,25.81,0.1409,0,7110,OVER_FORTY,1,0.4773465929354583,0
95788,10000,RENT,55992.0,12.64,0.1016,0,6806,UNDER_FORTY,0,0.4120081127913809,0
89644,16000,RENT,133000.0,19.27,0.1875,0,6319,UNDER_FORTY,0,0.5575726007286469,0
96357,12325,MORTGAGE,36000.0,14.93,0.1114,0,9698,OVER_FORTY,0,0.4911199190515661,0
75089,24000,MORTGAGE,135000.0,16.57,0.1433,0,15238,OVER_FORTY,0,0.45348275449644043,0
90629,22000,MORTGAGE,95000.0,29.47,0.0662,0,8449,UNDER_FORTY,0,0.270442844392015,0
86118,7200,RENT,48000.0,20.75,0.158,0,6684,OVER_FORTY,1,0.5977083747156889,0
90670,12000,MORTGAGE,245000.0,10.68,0.1433,0,11097,OVER_FORTY,0,0.3470206134859635,0
75674,3500,MORTGAGE,85000.0,7.21,0.1064,0,7141,UNDER_FORTY,0,0.32083902046970636,0
107687,10000,MORTGAGE,35000.0,32.23,0.1114,0,5680,UNDER_FORTY,0,0.5262778263314661,0
73880,6800,MORTGAGE,45000.0,18.4,0.1368,0,14142,UNDER_FORTY,0,0.5373508268636603,0
100948,30000,MORTGAGE,152000.0,12.64,0.1114,0,11097,OVER_FORTY,0,0.3448312642497373,0
85023,16000,MORTGAGE,212000.0,11.34,0.0662,0,11340,OVER_FORTY,0,0.1700512348289393,0
73640,8000,RENT,65000.0,9.16,0.1522,0,6319,UNDER_FORTY,1,0.5193636142216385,0
88400,21000,MORTGAGE,225000.0,17.87,0.1212,0,9149,UNDER_FORTY,0,0.33048996880035103,0
102313,24500,MORTGAGE,103000.0,11.99,0.1114,0,8602,UNDER_FORTY,0,0.3766667880610459,0
111867,6000,RENT,28000.0,16.5,0.2247,0,5223,UNDER_FORTY,0,0.7514811247022976,1
84074,17475,MORTGAGE,39520.0,21.04,0.1212,0,5983,UNDER_FORTY,0,0.5266793011244071,0
94129,10475,RENT,103380.0,0.65,0.1777,0,5680,UNDER_FORTY,0,0.5034945847586136,0
74486,16000,MORTGAGE,71000.0,2.84,0.0662,0,5253,UNDER_FORTY,0,0.22921401143059164,0
108726,8500,OWN,43500.0,14.59,0.1212,0,5771,UNDER_FORTY,1,0.4777575423977906,0
71791,15000,MORTGAGE,85000.0,27.82,0.1305,0,8479,OVER_FORTY,1,0.4823707335665579,0
76939,9575,MORTGAGE,37200.0,24.0,0.0971,0,8724,OVER_FORTY,1,0.45595919268612045,0
110113,21200,MORTGAGE,115000.0,15.9,0.08900000000000001,0,6714,UNDER_FORTY,0,0.29826927959754523,0
77630,10000,MORTGAGE,30000.0,15.16,0.0603,0,11674,UNDER_FORTY,0,0.31362667945931777,0
96345,10000,MORTGAGE,56000.0,25.01,0.1875,0,7628,UNDER_FORTY,0,0.6407426745717145,1
69775,5950,MORTGAGE,48100.0,23.41,0.1678,0,7475,UNDER_FORTY,0,0.6010025212112069,0
103417,8500,MORTGAGE,52000.0,17.4,0.1849,0,10794,OVER_FORTY,0,0.6265846953645496,1
103257,30000,MORTGAGE,160000.0,22.55,0.1114,0,17794,OVER_FORTY,0,0.37196530809839135,0
84836,14100,MORTGAGE,40000.0,9.57,0.08900000000000001,0,11827,OVER_FORTY,0,0.3956231925500609,0
94215,6075,RENT,22000.0,8.13,0.1016,0,5406,UNDER_FORTY,0,0.4925441472916032,0
102996,12300,MORTGAGE,68000.0,16.66,0.1531,0,7444,UNDER_FORTY,0,0.5283299353326839,0
85885,11700,RENT,54000.0,2.69,0.1114,0,8298,OVER_FORTY,1,0.4284382370318303,0
